107:411|4768cb49-4c51-4da0-ad92-69f6db274bfa,('FSM', '17572321', '17572750', ('107:411|4768cb49-4c51-4da0-ad92-69f6db274bfa', 'uLTRA', '-', '304', '1', '0', '0', 'NNC', 'GA-GC', '17572522-17572629', 'NA', '2R', '17572322', '17572750', '16'))
103:670|c9c46c03-e17c-4943-a043-e2adcdb7bea9,('FSM', '20453261', '20454770', ('103:670|c9c46c03-e17c-4943-a043-e2adcdb7bea9', 'uLTRA', '-', '567', '5', '2', '0', 'NNC', 'GT-AG:GT-AG:GT-TC:GC-TT:AA-AT', '20453516-20453901:20453962-20454151:20454212-20454296:20454495-20454500:20454699-20454814', 'NA', '3L', '20453259', '20455015', '0'))
111:727|19afd697-d04e-475c-a85c-8bd1608a6cf2,('FSM', '20264074', '20264859', ('111:727|19afd697-d04e-475c-a85c-8bd1608a6cf2', 'uLTRA', '-', '616', '4', '3', '0', 'NNC', 'GT-AG:GT-AG:GT-AG:GG-GC', '20264007-20264075:20264110-20264246:20264432-20264492:20264848-20264976', 'NA', '2R', '20263987', '20265043', '0'))
92:618|57670260-0c45-4698-8be7-051d1fbe895a,('FSM', '9778105', '9779082', ('92:618|57670260-0c45-4698-8be7-051d1fbe895a', 'uLTRA', '-', '526', '2', '0', '0', 'NNC', 'GT-CT:TC-AG', '9778196-9778537:9778737-9778776', 'NA', '3R', '9778105', '9779079', '0'))
99:666|f4c1feb2-d1d2-4366-989b-fd90324bc542,('FSM', '14625793', '14626607', ('99:666|f4c1feb2-d1d2-4366-989b-fd90324bc542', 'uLTRA', '-', '567', '2', '1', '0', 'NNC', 'GA-AG:GT-AG', '14625903-14626025:14626229-14626293', 'NA', '3R', '14625791', '14626605', '0'))
105:1154|7a8916fa-92a3-49b3-af83-707b3d2ea68c,('FSM', '29148329', '29149904', ('105:1154|7a8916fa-92a3-49b3-af83-707b3d2ea68c', 'uLTRA', '-', '1049', '3', '0', '0', 'NNC', 'CA-CA:AA-GC:AT-AT', '29148372-29148383:29148574-29149030:29149528-29149590', 'NA', '3R', '29148329', '29149924', '0'))
106:630|8be7f355-dc85-4707-8688-488b300ad140,('FSM', '30045230', '30046159', ('106:630|8be7f355-dc85-4707-8688-488b300ad140', 'uLTRA', '-', '524', '3', '2', '0', 'NNC', 'AT-AT:GT-AG:GT-AG', '29794596-30045228:30045624-30045686:30045786-30046133', 'NA', '3R', '29794552', '30046159', '16'))
112:1436|35a10483-f9d9-4026-a50f-dd4f7544e330,('FSM', '18981387', '18982769', ('112:1436|35a10483-f9d9-4026-a50f-dd4f7544e330', 'uLTRA', '-', '1324', '3', '2', '0', 'NNC', 'TA-AG:GT-AG:GT-AG', '18981524-18981551:18981903-18981979:18982250-18982307', 'NA', '3R', '18981378', '18982805', '0'))
101:687|ca68349e-f4f1-482d-9b48-30cef2ec9f2b,('FSM', '10408357', '10410463', ('101:687|ca68349e-f4f1-482d-9b48-30cef2ec9f2b', 'uLTRA', '-', '586', '2', '1', '0', 'NNC', 'GG-AG:GT-AG', '10408397-10409710:10410051-10410240', 'NA', '2L', '10408357', '10410457', '0'))
90:1438|88e7734d-b1be-41eb-a0fe-a1a90824c3bf,('FSM', '9791527', '9793111', ('90:1438|88e7734d-b1be-41eb-a0fe-a1a90824c3bf', 'uLTRA', '-', '1348', '5', '4', '0', 'NNC', 'GT-AG:GT-AG:GT-AG:GT-AG:AA-AT', '9791791-9791845:9792061-9792123:9792334-9792395:9792757-9792812:9793098-9793101', 'NA', '3R', '9791502', '9793119', '0'))
